Date,Ready Mixed Concrete (Th.cu.m.),Geographical Region,Building Material Type,Unique_Key
01/4/2012,3399,United Kingdom,Other Building Materials,01/4/20123399United KingdomOther Building Materials
01/7/2012,3556,United Kingdom,Other Building Materials,01/7/20123556United KingdomOther Building Materials
01/10/2012,3340,United Kingdom,Other Building Materials,01/10/20123340United KingdomOther Building Materials
01/1/2013,3325,United Kingdom,Other Building Materials,01/1/20133325United KingdomOther Building Materials
01/4/2013,4108,United Kingdom,Other Building Materials,01/4/20134108United KingdomOther Building Materials
01/7/2013,3972,United Kingdom,Other Building Materials,01/7/20133972United KingdomOther Building Materials
01/10/2013,3684,United Kingdom,Other Building Materials,01/10/20133684United KingdomOther Building Materials
01/1/2014,3475,United Kingdom,Other Building Materials,01/1/20143475United KingdomOther Building Materials
01/4/2014,3977,United Kingdom,Other Building Materials,01/4/20143977United KingdomOther Building Materials
01/7/2014,4183,United Kingdom,Other Building Materials,01/7/20144183United KingdomOther Building Materials
01/10/2014,3713,United Kingdom,Other Building Materials,01/10/20143713United KingdomOther Building Materials
01/1/2015,4035,United Kingdom,Other Building Materials,01/1/20154035United KingdomOther Building Materials
01/4/2015,3992,United Kingdom,Other Building Materials,01/4/20153992United KingdomOther Building Materials
01/7/2015,4225,United Kingdom,Other Building Materials,01/7/20154225United KingdomOther Building Materials
01/10/2015,4042,United Kingdom,Other Building Materials,01/10/20154042United KingdomOther Building Materials
01/1/2016,4045.1825,United Kingdom,Other Building Materials,01/1/20164045.1825United KingdomOther Building Materials
01/4/2016,4661.8925,United Kingdom,Other Building Materials,01/4/20164661.8925United KingdomOther Building Materials
01/7/2016,4739.38,United Kingdom,Other Building Materials,01/7/20164739.38United KingdomOther Building Materials
01/10/2016,4223.2325,United Kingdom,Other Building Materials,01/10/20164223.2325United KingdomOther Building Materials
01/1/2017,4217.455,United Kingdom,Other Building Materials,01/1/20174217.455United KingdomOther Building Materials
01/4/2017,4461.1845,United Kingdom,Other Building Materials,01/4/20174461.1845United KingdomOther Building Materials
01/7/2017,4516.744,United Kingdom,Other Building Materials,01/7/20174516.744United KingdomOther Building Materials
01/10/2017,4013.1525,United Kingdom,Other Building Materials,01/10/20174013.1525United KingdomOther Building Materials
01/1/2018,3652.3265,United Kingdom,Other Building Materials,01/1/20183652.3265United KingdomOther Building Materials
01/4/2018,4546.41017467842,United Kingdom,Other Building Materials,01/4/20184546.41017467842United KingdomOther Building Materials
01/7/2018,4616.02546820222,United Kingdom,Other Building Materials,01/7/20184616.02546820222United KingdomOther Building Materials
01/10/2018,4245.1575,United Kingdom,Other Building Materials,01/10/20184245.1575United KingdomOther Building Materials
01/1/2019,4011.004,United Kingdom,Other Building Materials,01/1/20194011.004United KingdomOther Building Materials
01/4/2019,4199.6125,United Kingdom,Other Building Materials,01/4/20194199.6125United KingdomOther Building Materials
01/7/2019,4380.7005,United Kingdom,Other Building Materials,01/7/20194380.7005United KingdomOther Building Materials
01/10/2019,3834.79475,United Kingdom,Other Building Materials,01/10/20193834.79475United KingdomOther Building Materials
01/1/2020,3540.108,United Kingdom,Other Building Materials,01/1/20203540.108United KingdomOther Building Materials
01/4/2020,2490.491,United Kingdom,Other Building Materials,01/4/20202490.491United KingdomOther Building Materials
01/7/2020,3823.07977599828,United Kingdom,Other Building Materials,01/7/20203823.07977599828United KingdomOther Building Materials
01/10/2020,3586.25278976188,United Kingdom,Other Building Materials,01/10/20203586.25278976188United KingdomOther Building Materials
01/1/2021,3584.66868224283,United Kingdom,Other Building Materials,01/1/20213584.66868224283United KingdomOther Building Materials
01/4/2021,4111.43479128737,United Kingdom,Other Building Materials,01/4/20214111.43479128737United KingdomOther Building Materials
